UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/10-36-051-28W5/0,Suncor,10/18/2007,Undefined,Montney,H,Open,None,STAN,"11,360",,16,<10%,,25,25,,None,3 - No Report,,,,,,,,,,,,,,,,"Perforate,Evaluate",
00/06-25-052-20W5/0,Open Range Energy Corp.,11/19/2008,Ansell,Montney,D,Cased,None,OGABN,,612,21,,HCl,,,,None,3 - No Report,,,,,,,,2,,,,,,,,"Perforate,Stim,Evaluate",434
00/05-13-052-28W5/3,ConocoPhillips Canada Resource Corp.,3/21/2004,Solomon,Montney,H,Open,None,OGABN,,712,21,<10%,,,,,,3 - No Report,,,,,,,,,,,,,,,,"OH,Stim,Evaluate",609
00/02-34-053-19W5/4,Canadian Natural Resources,11/6/2004,Edson,Montney,V,Cased,Single Stage Frac,DRABN,,342,9,,Oil,,,Unknown,Halliburton,3 - No Report,,1,,,30,30,147,147,,,,,,,,1 x 30t Oil Frac,
00/11-26-054-22W5/2,Texaco Canada Petroleum Inc.,4/13/1980,Sundance,Montney,V,Cased,Mechanical Plug,GSUP,,,18,,Oil,,,Unknown,Fracmaster,3 - No Report,,1,,,10,10,,,836,780,536,0,0,,,1 x 10t Oil Frac,
00/01-06-055-22W5/4,Chevron ,8/17/2010,Sundance,Montney,H,Cased,None,GABN,,169,6,,,,,,None,3 - No Report,,,,,,,,,"1,834",483,"1,082",0,0,,,"Perforate,Evaluate",
02/01-25-055-26W5/0,Tourmaline Oil,,Wild River,Montney,D,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 3909mKB,
00/06-25-055-26W5/2,Tourmaline Oil,10/10/2014,Wild River,Montney,H,Open,PP (StackFRAC),GAS,"5,594","2,650",21,,Water,"5,282",946,Unknown,Trican,1 - Report w Charts,15,11,891,89,665,525,476,"5,238",82,291,74,0,0,,,1 x 35T + 14 x 45t/stage TWS-Slickwater Frac,
00/10-14-056-21W5/0,Hudson's Bay Oil & Gas Company,8/29/1980,Sundance,Montney,V,Cased,None,GSUP,,,57,,,,,,None,3 - No Report,,,,,,,,,"11,773","4,983","3,512",0,0,,,"Perforate,Evaluate,Equip",
00/06-21-057-24W5/0,Canadian Forest Oil,12/16/2006,Wild River,Montney,V,,,OGABN,"6,117",330,2,<10%,,,,,Trican,3 - No Report,,,,,,,,,,,,,,,,Stim,330
00/16-25-057-26W5/0,XTO Energy,8/20/2014,Wild River,Montney,H,Cased,Flow-Through BP,GAS,,"5,196",23,<10%,Slickwater,"16,642",187,CSG-Optimum SW,Canyon,1 - Report w Charts,18,17,"1,655",108,"2,550","2,373",966,"16,419",,,,,,,,17 x 150t/stage CSG-Optimum SW Frac,"6,470"
00/06-01-057-27W5/2,Celtic Exploration Ltd.,4/4/2011,Wild River,Montney,V,Cased,None,GABN,,"1,824",47,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Perforate,"1,769"
00/04-11-057-27W5/2,Celtic Exploration Ltd.,4/2/2013,Wild River,Montney,H,Open,PP (StackFRAC),GAS,"6,302","2,525",37,,Water,577,195,Unknown,Trican,3 - No Report,16,1,148,,576,37,515,515,490,"1,053",245,0,0,,,16 x 36t/stage N2 Foamed Water Frac,"6,330"
00/06-12-057-27W5/3,Celtic Exploration Ltd.,3/10/2012,Wild River,Montney,H,Open,PP (StackFRAC),GAS,,"4,900",44,,Surfactant,,,Unknown,Trican,3 - No Report,,16,,,880,880,86,"1,372","1,673",612,414,0,0,,,16 x 55t/stage N2 Surfactant Frac,"4,165"
02/04-14-057-27W5/0,Celtic Exploration Ltd.,,Wild River,Montney,D,Cased,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/05-23-057-27W5/0,XTO Energy,9/21/2014,Wild River,Montney,H,Cased,Flow-Through BP,GAS,,"3,530",20,10-30%,Slickwater,"15,357",0,CSG-Optimum SW,Canyon,1 - Report w Charts,15,13,"1,380",113,"2,100","1,947","1,160","15,074","2,230","1,910",543,0,0,,,14 x 150t/stage CSG-Optimum SW Frac,
00/08-29-057-27W5/0,Tourmaline Oil,,Leland,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/04-02-058-19W5/0,Genesis Exploration,,Pine Creek,Montney,H,,,STAN,,,1,,,,,,,3 - No Report,,,,,,,,,,,,,,,, Stage Frac,
00/13-30-058-19W5/0,Trilogy Energy,4/2/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,168",8,<10%,Oil,646,289,CWS-Dynagel-H2,Calfrac,3 - No Report,18,18,"1,475",78,180,180,29,514,783,557,436,0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,580"
00/08-32-058-19W5/0,Trilogy Energy,10/27/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,089",66,,Oil,,,Unknown,Calfrac,3 - No Report,,12,,,114,114,,,,,,,,,,9 x 11t/stage + 3 x 5t/stage Oil Frac,"1,154"
00/07-16-058-20W5/3,Genesis Exploration,,Pine Creek,Montney,H,Open,None,DRABN,,,1,,Other Acid,,,,None,3 - No Report,,,,,,,,5,,,,,,,,"OH,Stim",
00/15-23-058-20W5/2,Celtic Exploration Ltd.,,Pine Creek,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon during drilling,
02/16-23-058-20W5/0,Celtic Exploration Ltd.,,Pine Creek,Montney,V,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon during drilling,
02/16-23-058-20W5/3,Celtic Exploration Ltd.,12/24/2008,Pine Creek,Montney,H,Open,PP (StackFRAC),GSUP,"3,047",627,9,,Oil,,,Unknown,Trican,3 - No Report,,7,,,,,50,353,553,355,214,0,0,,,7 Stage Oil Frac,"1,000"
02/13-26-058-20W5/0,Celtic Exploration Ltd.,3/23/2009,Pine Creek,Montney,H,Open,PP (StackFRAC),GSUP,"2,442",512,11,<10%,Oil,340,225,TWS-Gelled HC,Trican,3 - No Report,7,7,944,152,111,111,44,308,104,129,74,0,0,,,7 x 16t/stage TWS-Gelled HC Frac,820
00/04-30-058-20W5/0,Trilogy Energy,10/3/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"3,144",20,10-30%,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,20,13,"1,447",121,200,114,85,"1,099",873,756,377,0,0,,,20 x 10t/stage N2 Dynagel-H2 Fracs,"2,226"
00/04-31-058-20W5/0,Paramount Resources Ltd.,7/25/2004,Kaybob South,Montney,V,Cased,Single Stage Frac,GSUP,,320,10,,Oil,,,Unknown,Calfrac,3 - No Report,,1,,,30,30,56,56,800,432,304,0,0,,,1 x 30t N2 Oil Frac,
00/12-36-058-20W5/0,Celtic Exploration Ltd.,3/15/2011,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GSUP,"2,205",975,21,,Oil,,,Unknown,Canyon,3 - No Report,,11,,,121,121,42,458,423,143,159,0,0,,,11 x 11t/stage Oil Frac,"1,330"
00/13-36-058-20W5/0,Celtic Exploration Ltd.,8/8/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,497",677,16,30-50%,Oil,563,378,CSG-Optimum HC,Canyon,3 - No Report,11,11,"1,282",120,176,176,45,493,"3,482","2,056","1,171",0,0,,,11 x 16t/stage CSG-Optimum HC Frac,"1,400"
00/09-23-058-21W5/0,Apache Canada Ltd.,6/21/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,857","2,290",119,<10%,Oil,916,242,HAL-My-T-Oil V,Halliburton,1 - Report w Charts,13,13,"1,210",95,273,273,63,816,"3,607","2,187","1,223",0,0,,,13 x 21t/stage N2 HAL-My-T-Oil V Frac,"2,065"
04/13-23-058-21W5/0,Trilogy Energy,2/17/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,922","1,451",15,,Oil,,,Unknown,Calfrac,3 - No Report,,13,,,260,260,76,985,"2,187","1,532",817,0,0,,,13 x 20t/stage Oil Frac,"1,297"
00/07-25-058-21W5/0,Amoco Canada Petroleum,5/29/1980,Kaybob South,Montney,V,Cased,Single Stage Frac,OGABN,,294,16,30-50%,Unknown,24,1,Unknown,Unknown,3 - No Report,1,1,10,,17,17,24,24,,,,,,,,1 x 17t N2 Foamed  Frac,
00/06-27-058-21W5/0,Apache Canada Ltd.,6/21/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,629","1,425",127,<10%,Oil,508,201,HAL-My-T-Oil V,Halliburton,1 - Report w Charts,6,6,529,106,126,121,75,453,"1,273",667,464,0,0,,,6 x 21t/stage N2 HAL-My-T-Oil V Frac,"1,806"
00/09-27-058-21W5/0,Apache Canada Ltd.,5/9/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,694","2,964",127,,Oil,,,HAL-My-T-Oil V,Halliburton,2 - Report w/o Charts,,12,,,252,252,72,866,"4,207","2,190","1,206",0,0,0,0,12 x 21t/stage N2 HAL-My-T-Oil V Frac,"1,978"
00/13-27-058-21W5/0,BP Canada Energy,12/2/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,453",14,<10%,Oil,437,172,BJ-Super Rheo Gel,BJ Services,3 - No Report,5,5,625,126,,1,87,437,"1,950","1,386",841,0,0,,,5 x Stage N2 BJ-Super Rheo Gel Frac,"1,689"
00/07-33-058-21W5/0,BP Canada Energy,8/24/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,956",13,10-30%,Oil,"1,092",526,BJ-Super Rheo Gel,BJ Services,3 - No Report,10,10,"1,179",121,227,222,76,763,853,869,325,0,0,,,10 x 15t/stage N2 BJ-Super Rheo Gel Frac,"2,119"
00/02-34-058-21W5/0,BP Canada Energy,2/12/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,087",12,<10%,Oil,411,156,BJ-Super Rheo Gel,BJ Services,3 - No Report,5,5,532,107,107,117,81,406,"2,596","1,569",954,0,0,,,5 x 21t/stage N2 BJ-Super Rheo Gel Frac,"1,532"
00/16-34-058-21W5/0,BP Canada Energy,2/16/2009,Kaybob South,Montney,H,Open,Single Stage Frac,GAS,,"1,437",16,10-30%,Oil,542,211,BJ-Super Rheo Gel,BJ Services,3 - No Report,1,1,500,,131,131,543,543,"1,505","1,113",615,0,0,,,1 x 131t BJ-Super Rheo Gel Frac,"1,596"
00/15-35-058-21W5/0,Trilogy Energy,4/7/2013,Kaybob South,Montney,H,Open,HA (RapidStage),GSUP,"5,857","2,688",16,<10%,Oil,"1,207",509,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,30,19,"2,895",161,450,235,64,"1,207","2,295",234,922,0,0,,,30 x 15t/stage N2 CWS-Dynagel-H2 Frac,"2,875"
00/16-35-058-21W5/0,Trilogy Energy,3/27/2012,Kaybob South,Montney,H,Open,HA (Delta Stim),GAS,,"2,250",13,10-30%,Oil,"1,391",342,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,28,28,"2,655",97,280,280,48,"1,351","5,381","2,209","1,803",0,0,,,28 x 10t/stage DynaGel-H2 N2 Fracs,"2,327"
00/13-18-058-24W5/2,Talisman Energy,4/8/2009,Wild River,Montney,H,Open,PP (StackFRAC),STAN,,"3,258",84,30-50%,Oil,648,345,SLB-WideFrac (YFGO),Schlumberger,3 - No Report,4,4,412,69,205,186,162,648,,,,,,,,4 x 51t/stage SLB-WideFrac (YFGO) Frac,
00/08-19-058-24W5/0,ConocoPhillips Canada Resource Corp.,10/26/2011,Berland River West,Montney,H,Open,W (ZoneSelect),GAS,,"3,201",43,,Oil,,,BJ-Super Rheo Gel,Baker Hughes,3 - No Report,,16,,,256,256,70,"1,118",,,,,,,,16 x 16t/stage N2 BJ-Super Rheo Gel Frac,"3,422"
02/04-25-058-25W5/0,ConocoPhillips Canada Resource Corp.,,Berland River West,Montney,V,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 3126 mKB,
00/14-26-058-25W5/2,ConocoPhillips Canada Resource Corp.,1/11/2015,Berland River West,Montney,H,Cased,Flow-Through BP,GAS,,"9,277",56,10-30%,Slickwater,"17,217","2,017",Hybrid-Slickwater,Halliburton,1 - Report w Charts,25,21,"1,414",70,"2,500","2,096",860,"18,066","1,201",763,477,0,0,,,25 x 100t/stage HAL-HYBRID Slickwater/Hybor G Fracs,"9,494"
00/13-36-058-25W5/0,ConocoPhillips Canada Resource Corp.,10/1/2013,Berland River West,Montney,H,Open,W (ZoneSelect),GAS,,"2,354",26,<10%,Slickwater,"7,454","2,994",Unknown,Halliburton,1 - Report w Charts,20,19,"1,501",83,"1,000",932,387,"7,346",713,561,294,0,0,,,20 x 50t/stage N2 HAL-Slickwater Frac,"2,831"
00/05-17-058-27W5/0,Celtic Exploration Ltd.,,Leland,Montney,D,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/12-20-058-27W5/2,Celtic Exploration Ltd.,11/16/2011,Leland,Montney,H,Open,PP (StackFRAC),OIL/GAS,"6,840","4,735",21,,Water,,,Unknown,Trican,3 - No Report,,17,,,935,935,104,"1,769",,,,,,,,17 x 55t/stage N2 Water Frac,
00/16-24-058-27W5/2,Celtic Exploration Ltd.,2/14/2012,Leland,Montney,H,Open,PP (StackFRAC),GAS,"6,933","5,410",34,10-30%,Water,"1,875",703,Unknown,Trican,3 - No Report,17,15,"2,108",151,935,830,125,"1,875","2,864","1,905",855,0,0,,,17 x 55t/stage N2 Water Frac,"4,900"
00/13-03-059-19W5/0,Celtic Exploration Ltd.,3/1/2011,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,472",918,10,<10%,Oil,540,435,Unknown,Canyon,3 - No Report,12,12,"1,156",103,132,132,40,484,"1,102",529,401,0,0,,,12 x 11t/stage Oil Frac,"1,400"
00/01-04-059-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,D,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/03-04-059-19W5/2,Celtic Exploration Ltd.,10/21/2009,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,376",745,23,,Oil,,,Unknown,Trican,3 - No Report,,11,,,121,121,48,527,"1,548","1,285",568,0,0,,,11 x 11t/stage Oil Frac,840
00/04-04-059-19W5/0,Celtic Exploration Ltd.,11/15/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GSUP,"2,170",749,19,,Oil,,,Unknown,Canyon,3 - No Report,,13,,,143,143,36,470,82,569,381,0,0,,,13 x 11t/stage N2 Oil Frac,"1,400"
03/14-04-059-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon during drilling,
00/16-04-059-19W5/2,Celtic Exploration Ltd.,12/21/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GSUP,"2,806",825,8,,Oil,,,Unknown,Canyon,3 - No Report,,13,,,143,143,48,628,893,215,351,0,0,,,13 x 11t/stage Oil Frac,"1,318"
00/01-05-059-19W5/0,Celtic Exploration Ltd.,9/16/2008,Kaybob South,Montney,H,Open,Ball & Seat,GAS,"2,202",,10,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,76,76,359,"2,513",961,611,294,0,0,,,7 x 11t/stage TWS-Gelled HC Frac,
00/13-05-059-19W5/0,Celtic Exploration Ltd.,8/25/2010,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,309",778,31,,Oil,,,CSG-Optimum HC,Canyon,3 - No Report,,13,,,143,143,34,440,535,536,256,0,0,,,13 x 11t/stage N2 CSG-Optimum HC Frac,"1,390"
00/16-07-059-19W5/0,Devon Canada Corporation,12/22/2010,Kaybob South,Montney,H,Open,W (ZoneSelect),GAS,"3,090","1,378",20,,Water,,,Unknown,BJ Services,3 - No Report,,14,,,154,154,20,286,"1,824","1,785",659,0,0,,,14 x 11t/stage N2 Water Frac,"1,420"
00/04-14-059-19W5/0,Trilogy Energy,8/22/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"2,779","2,810",44,,Oil,,,Unknown,Unknown,3 - No Report,,16,,,,,47,753,59,4,106,0,0,,,16 Stage Oil Frac,"1,206"
00/01-17-059-19W5/0,Trilogy Energy,12/30/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,599","1,134",12,<10%,Oil,275,151,CWS-Dynagel-H2,Calfrac,3 - No Report,7,7,912,143,70,70,39,275,"1,012",597,378,0,0,,,7 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,339"
00/04-18-059-19W5/0,Trilogy Energy,4/21/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,997",814,9,<10%,Oil,672,301,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,18,18,"1,704",98,180,180,31,562,"1,239",734,585,0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,391"
00/05-18-059-19W5/0,Trilogy Energy,4/21/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,979",867,10,<10%,Oil,551,346,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,17,17,"1,579",95,170,171,32,551,"1,414",942,642,0,0,,,17 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,349"
00/12-18-059-19W5/0,Trilogy Energy,4/22/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,787",785,11,<10%,Oil,603,243,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,16,16,"1,685",102,160,160,31,498,"1,560","1,124",760,0,0,,,16 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,308"
00/13-18-059-19W5/0,Trilogy Energy,4/21/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,233",875,11,<10%,Oil,619,275,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,16,16,"1,462",95,160,153,39,619,"1,573","1,095",772,0,0,,,16 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,324"
00/16-18-059-19W5/0,Trilogy Energy,11/29/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,137",19,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,12,,,120,120,56,668,"2,511","1,433",949,0,0,,,12 x 10t/stage CWS-Dynagel-H2 Frac,"1,100"
00/01-19-059-19W5/0,Trilogy Energy,2/19/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,995",6,<10%,Oil,,281,Unknown,Calfrac,3 - No Report,22,22,"1,531",73,220,220,45,985,"3,101","1,566","1,481",0,0,,,22 x 10t/stage Oil Frac,"1,926"
00/08-19-059-19W5/0,Trilogy Energy,9/26/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,829,22,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,12,,,120,120,49,589,"3,051","1,768","1,097",0,0,,,12 x 10t/stage N2 CWS-Dynagel-H2 Frac,974
00/12-19-059-19W5/0,Trilogy Energy,6/27/2015,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,501,19,<10%,Water,497,93,CWS-DynAqua,Calfrac,1 - Report w Charts,17,17,"1,582",96,135,135,29,497,"1,667","1,083",609,0,0,,,10 x 10t/stage + 7 x 5t/stage N2 CWS-DynAqua Frac,849
00/13-19-059-19W5/0,Trilogy Energy,10/24/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,208",14,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,22,,,220,220,48,"1,053","2,397","1,574",898,0,0,,,22 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,852"
00/01-20-059-19W5/0,Trilogy Energy,4/11/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,991",943,8,<10%,Oil,819,316,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,17,17,"1,521",94,170,170,38,647,"1,181",821,539,0,0,,,17 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,624"
00/01-21-059-19W5/0,Trilogy Energy,6/12/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,309",12,10-30%,Oil,"1,051",499,Unknown,Calfrac,3 - No Report,20,20,"1,411",72,200,200,42,837,"1,321",899,765,0,0,,,20 x 10t/stage N2 Oil Frac,"1,882"
00/12-27-059-19W5/0,Celtic Exploration Ltd.,12/21/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GABN,"1,596",446,13,<10%,Oil,229,144,TWS-Gelled HC,Trican,3 - No Report,5,5,703,119,53,53,52,258,,,,,,,,5 x 11t/stage TWS-Gelled HC Frac,941
00/13-30-059-19W5/2,Trilogy Energy,11/14/2013,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"5,657","1,707",10,<10%,Oil,"1,343",329,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,32,32,"3,272",101,300,300,35,"1,117","1,524","2,102","1,044",0,0,,,32 x 10t/stage N2 CWS-Dynagel-H2 Frac,"2,098"
00/15-30-059-19W5/0,Trilogy Energy,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,,,,,,,,,,,,,,,,,Abandon while drilling at 4527 mKB,
00/04-31-059-19W5/0,Trilogy Energy,1/7/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,123",30,,Oil,,,Unknown,Calfrac,3 - No Report,,22,,,220,220,40,879,"2,426","1,653","1,179",0,0,,,22 x 10t/stage Oil Frac,"2,128"
00/13-31-059-19W5/0,Trilogy Energy,10/4/2013,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,602","1,112",12,<10%,Oil,695,351,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,16,16,"1,394",92,160,161,34,549,"1,580","1,034",640,0,0,,,16 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,711"
00/09-34-059-19W5/2,Celtic Exploration Ltd.,11/28/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"2,059",494,12,<10%,Oil,349,275,TWS-Gelled HC,Trican,3 - No Report,7,7,"1,080",180,62,62,43,304,279,318,130,0,0,,,7 x 9t/stage TWS-Gelled HC Frac,"1,000"
00/01-35-059-19W5/0,Celtic Exploration Ltd.,1/30/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"2,438",728,47,,Oil,,,Unknown,Canyon,3 - No Report,,16,,,93,93,27,429,136,,,0,,,,16 x 6t/stage Oil Frac,"1,000"
00/01-05-059-20W5/0,Trilogy Energy,11/4/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,833","1,430",18,<10%,Oil,"1,022",333,Unknown,Calfrac,3 - No Report,15,15,"1,270",88,150,134,53,800,"1,762","1,194",680,0,0,,,15 x 10t/stage Oil Frac,"1,226"
00/08-05-059-20W5/0,Trilogy Energy,8/10/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,139",12,10-30%,Oil,997,251,CWS-Dynagel-H2,Calfrac,3 - No Report,19,18,"1,354",80,190,178,55,997,"1,836","1,370",760,0,0,,,19 x 10t/stage N2 CWS-Dynagel-H2 Frac,"2,090"
00/04-08-059-20W5/0,Trilogy Energy,3/12/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,599",19,<10%,Oil,"1,176",378,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,18,16,"1,359",91,180,166,67,"1,078","1,193",542,401,0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,870"
00/02-11-059-20W5/0,Trilogy Energy,3/20/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"4,703","1,065",11,<10%,Oil,"1,752",414,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,33,34,"3,142",94,490,490,47,"1,597","2,584","2,760","1,278",0,0,,,17 x 10t/stage + 16 x 20t/stage N2 CWS-Dynagel-H2 Frac,"2,165"
00/03-11-059-20W5/0,Trilogy Resources,7/6/2015,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,378",21,<10%,Water,"2,138",252,CWS-CleanTech,Calfrac,1 - Report w Charts,33,33,"3,443",102,660,661,61,"2,009","3,405","2,111","1,026",0,0,,,15 x 20t/stage N2 CWS-DynAqua + x 18 x 20t/stage N2 CWS-CleanTech Frac,"2,324"
00/04-11-059-20W5/0,Trilogy Energy,3/5/2016,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,275",871,19,<10%,Slickwater,"5,274",542,CWS-CalVisc,Calfrac,1 - Report w Charts,33,33,"3,072",94,"1,095","1,088",160,"5,274","3,927",,,0,,,,4 x 20t/stage + 29 x 35t/stage N2 CWS-CalVisc Frac,"1,788"
00/14-12-059-20W5/0,Trilogy Energy,4/6/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,774",851,22,<10%,Oil,623,390,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,11,11,987,99,110,119,50,547,759,541,300,0,0,,,11 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,076"
00/01-13-059-20W5/0,Devon Canada Corporation,11/27/2010,Kaybob South,Montney,H,Open,W (ZoneSelect),GAS,"2,875","1,312",19,,Water,,,Unknown,Canyon,3 - No Report,,14,,,154,154,18,254,"1,506",849,653,0,0,,,14 x 11t/stage N2 Foamed Water Frac,"1,520"
00/09-13-059-20W5/0,Devon Canada Corporation,2/8/2011,Kaybob South,Montney,H,Open,W (ZoneSelect),GAS,"2,980","1,274",17,,Water,,,Unknown,BJ Services,3 - No Report,,14,,,154,154,21,293,"1,494","1,296",682,0,0,,,14 x 11t/stage N2 Water Frac,"1,440"
00/16-13-059-20W5/0,Devon Canada Corporation,1/23/2011,Kaybob South,Montney,H,Open,W (ZoneSelect),GAS,"2,827","1,476",19,,Water,,,Unknown,BJ Services,3 - No Report,,14,,,154,154,22,305,"2,627","1,752",709,0,0,,,14 x 11t/stage N2 Water Frac,
00/01-14-059-20W5/0,Trilogy Energy,11/23/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,416","1,092",25,<10%,Oil,877,474,Unknown,Calfrac,3 - No Report,13,13,"1,271",106,130,130,51,662,"2,460","1,059",816,0,0,,,13 x 10t/stage N2 Oil Frac,"1,133"
00/01-16-059-20W5/0,Nuvista Energy,8/23/2010,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,892",972,12,<10%,Oil,425,206,TWS-Gelled HC,Trican,3 - No Report,12,12,"1,165",106,120,120,33,393,699,470,374,0,0,,,12 x 10t/stage N2 TWS-Gelled HC Frac,"1,099"
