UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/04-15-082-20W6/0,Crew Energy Inc.,4/16/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,241,<10%,Slickwater,"10,869","2,650",Unknown,Trican,3 - No Report,26,26,"2,174",87,"1,650","1,522",420,"10,911","2,020",,,0,,,,1 x 25T + 25 x 65t/stage TWS-Slickwater Frac,
02/04-15-082-20W6/0,Crew Energy Inc.,8/23/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,104,<10%,Slickwater,"11,036","5,721",Unknown,Trican,3 - No Report,27,27,"1,880",72,"1,755","1,755",430,"11,613","2,842",,,0,,,,27 x 65t/stage TWS-Slickwater Frac,
00/16-15-082-20W6/0,Crew Energy Inc.,10/5/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,"2,346",122,30-50%,Slickwater,"13,477","8,179",Unknown,Trican,3 - No Report,28,18,"1,991",117,"1,820",916,749,"13,477",,,,,,,,28 x 65t/stage TWS-Slickwater Frac,"1,529"
00/01-16-082-20W6/0,Crew Energy Inc.,4/17/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,242,<10%,Slickwater,"8,316","2,361",Unknown,Trican,3 - No Report,22,22,"1,802",86,"1,430","1,430",378,"8,311","2,758",,,0,,,,22 x 65t/stage TWS-Slickwater Frac,
00/06-16-082-20W6/2,Iteration Energy,1/27/2009,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"2,528",23,,Water,,,CWS-PolyCO2,Calfrac,3 - No Report,,5,,,510,510,126,631,537,370,216,0,0,,,5 x 102t/stage CO2 CWS-PolyCO2 Frac,"2,735"
02/09-17-082-20W6/0,Iteration Energy,,Monias,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 1570 mKB,
00/10-17-082-20W6/0,Chinook Energy,2/5/2010,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"2,662",25,,Slickwater,,,Unknown,Trican,3 - No Report,,5,,,600,600,661,"3,306",838,519,354,0,0,,,5 x 120t/stage N2 Slickwater Frac,
00/06-19-082-20W6/4,Iteration Energy,11/27/2008,Heritage,Montney,D,Cased,Mechanical Plug,DRABN,,"1,459",23,,Water,,,CWS-PolyCO2,Calfrac,3 - No Report,,3,,,306,306,114,341,,,,,,,,3 x 102t/stage CO2 Foamed CWS-PolyCO2 Frac,"1,249"
00/09-19-082-20W6/0,Crew Energy Inc.,10/22/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,"1,194",64,<10%,Slickwater,"10,694","5,284",CWS-600,Calfrac,3 - No Report,24,24,"2,148",93,"1,272","1,100",456,"10,936","2,576","1,131",776,0,0,,,24 x 53t/stage CWS-600 Frac,"1,480"
00/04-20-082-20W6/0,Crew Energy Inc.,7/14/2010,Heritage,Montney,H,Cased,Mechanical Plug,GAS,,"2,526",68,<10%,Slickwater,"4,714","1,824",CSG-Optimum SW,Canyon,3 - No Report,3,3,"1,101",400,900,881,"1,577","4,731",493,270,189,0,0,,,3 x 300t/stage CSG-Optimum SW Frac,"3,036"
02/04-20-082-20W6/0,Crew Energy Inc.,10/24/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,66,<10%,Slickwater,"12,771","4,541",CWS-600,Calfrac,3 - No Report,20,19,"1,746",97,"1,060",808,602,"11,429","1,242",648,446,0,0,,,20 x 53t/stage CWS-600 Frac,
00/05-20-082-20W6/0,Crew Energy Inc.,10/23/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,994,65,<10%,Slickwater,"9,636","2,571",CWS-600,Calfrac,3 - No Report,23,23,"1,956",89,"1,219","1,094",416,"9,565","2,054","1,206",697,0,0,,,23 x 53t/stage CWS-600 Frac,"1,419"
00/08-20-082-20W6/0,Crew Energy Inc.,8/21/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,102,<10%,Slickwater,"7,891","5,324",Unknown,Trican,3 - No Report,21,21,"1,634",82,"1,365","1,365",375,"7,883","2,014",,,0,,,,21 x 65t/stage TWS-Slickwater Frac,
00/12-20-082-20W6/0,Crew Energy Inc.,8/21/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,102,<10%,Slickwater,"18,130","7,291",Unknown,Trican,3 - No Report,29,26,"2,057",82,"1,885","1,442",697,"18,110","2,402",,,0,,,,29 x 65t/stage TWS-Slickwater Frac,
00/01-21-082-20W6/0,Crew Energy Inc.,6/8/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,"2,205",25,<10%,Slickwater,"9,623","4,458",CSG-Optimum SW,Canyon,3 - No Report,22,21,"2,074",104,"1,166","1,031",456,"9,585","2,264","1,533",736,0,0,,,22 x 53t/stage CSG-Optimum SW Frac,"1,581"
00/08-21-082-20W6/0,Crew Energy Inc.,6/8/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,"1,203",25,<10%,Slickwater,"8,686","3,808",CSG-Optimum SW,Canyon,3 - No Report,22,21,"1,867",93,"1,166","1,113",413,"8,681","3,414","2,341","1,069",0,0,,,22 x 53t/stage CSG-Optimum SW Frac,"1,581"
00/09-21-082-20W6/0,Crew Energy Inc.,6/8/2015,Heritage,Montney,H,Open,BH (FracPoint),GAS,,"1,444",25,<10%,Slickwater,"9,744",801,CSG-Optimum SW,Canyon,3 - No Report,24,24,"2,132",93,"1,272","1,274",406,"9,744","2,093","2,006",793,0,0,,,24 x 53t/stage CSG-Optimum SW Frac,"1,851"
00/08-22-082-20W6/0,PetroBakken,,Other Areas,Montney,V,Open,,STAN,,,1,,,,,,,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/09-22-082-20W6/0,Crew Energy Inc.,3/10/2015,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"1,554",61,<10%,Slickwater,"8,806","2,377",CSG-Optimum SW,Canyon,3 - No Report,26,24,"1,658",72,"1,378","1,210",367,"8,807","1,031","1,749",535,0,0,,,26 x 53t/stage CSG-Optimum SW Frac,"2,869"
00/13-22-082-20W6/2,PetroBakken,3/17/2009,Heritage,Montney,H,Cased,Mechanical Plug,GAS,"2,640","5,462",69,10-30%,Water,"3,910","2,968",Unknown,Unknown,3 - No Report,7,7,961,155,787,787,509,"3,561","1,279",488,330,0,0,,,7 x 112t/stage N2 Water Frac,"2,634"
02/13-22-082-20W6/0,Crew Energy Inc.,2/2/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,31,<10%,Slickwater,"10,457","2,526",CWS-600,Calfrac,3 - No Report,21,21,"1,858",93,"1,113",933,498,"10,456",994,,,0,,,,21 x 53t/stage CWS-600 Frac,
00/13-23-082-20W6/0,Crew Energy Inc.,3/10/2015,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"1,748",61,<10%,Slickwater,"8,803","6,918",CSG-Optimum SW,Canyon,3 - No Report,22,22,"1,962",93,"1,166","1,131",400,"8,803","1,613","1,681",656,0,0,,,22 x 53t/stage CSG-Optimum SW Frac,"2,835"
02/13-23-082-20W6/0,Crew Energy Inc.,6/12/2015,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"1,792",155,<10%,Slickwater,"11,883","1,687",CSG-Optimum SW,Canyon,3 - No Report,22,21,"1,979",99,"1,166","1,044",565,"11,871","2,393","1,307",795,0,0,,,22 x 53t/stage CSG-Optimum SW Frac,"2,852"
00/15-25-082-20W6/0,Crew Energy Inc.,10/4/2016,Heritage,Montney,H,Open,BH (FracPoint),GAS,,,58,<10%,Slickwater,"16,869","8,243",Unknown,Trican,3 - No Report,41,41,"1,715",43,"3,331","3,343",411,"16,869",,,,,,,,41 x Stage 3331T TWS-Slickwater Frac,
00/08-30-082-20W6/0,Devon Canada Corporation,3/28/2008,Heritage,Montney,D,Cased,Mechanical Plug,GSUP,,"2,338",27,,Water,,,BJ-Medallion,BJ Services,3 - No Report,,3,,,209,209,172,515,34,49,11,0,0,,,3 Stage 209t CO2 BJ-Medallion Frac,"2,800"
